LayerType,LayerName,GFLOPs,GIOPs,MParams,LayerParams,InputBlobs,OutputBlobs
Multiply,aten::conv2d/GroupConvolution_1/fq_weights_1,0.0000,0.0000,0.0001,[auto_broadcast: numpy],f32(96x1x1x3x3) f32(96x1x1x1x1),f32(96x1x1x3x3)
GroupConvolution,aten::conv2d/GroupConvolution_1,0.0054,0.0000,0.0009,[auto_pad: explicit; dilations: (1xs1); pads_begin: (1xs1); pads_end: (1xs1); strides: (2xs2)],f32(1x96x112x112) f32(96x1x1x3x3),f32(1x96x56x56)
Add,aten::conv2d/Add_4,0.0003,0.0000,0.0001,[auto_broadcast: numpy],f32(1x96x56x56) f32(1x96x1x1),f32(1x96x56x56)
Multiply,aten::conv2d/Convolution_3/fq_weights_1,0.0000,0.0000,0.0000,[auto_broadcast: numpy],f32(24x96x1x1) f32(24x1x1x1),f32(24x96x1x1)
Convolution,aten::conv2d/Convolution_3,0.0145,0.0000,0.0023,[auto_pad: explicit; dilations: (1xs1); pads_begin: (0xs0); pads_end: (0xs0); strides: (1xs1)],f32(1x96x56x56) f32(24x96x1x1),f32(1x24x56x56)
Add,aten::conv2d/Add_5,0.0001,0.0000,0.0000,[auto_broadcast: numpy],f32(1x24x56x56) f32(1x24x1x1),f32(1x24x56x56)
Multiply,aten::conv2d/Convolution_4/fq_weights_1,0.0000,0.0000,0.0001,[auto_broadcast: numpy],f32(144x24x1x1) f32(144x1x1x1),f32(144x24x1x1)
Convolution,aten::conv2d/Convolution_4,0.0217,0.0000,0.0035,[auto_pad: explicit; dilations: (1xs1); pads_begin: (0xs0); pads_end: (0xs0); strides: (1xs1)],f32(1x24x56x56) f32(144x24x1x1),f32(1x144x56x56)
Add,aten::conv2d/Add_6,0.0005,0.0000,0.0001,[auto_broadcast: numpy],f32(1x144x56x56) f32(1x144x1x1),f32(1x144x56x56)
Multiply,aten::conv2d/GroupConvolution_2/fq_weights_1,0.0000,0.0000,0.0001,[auto_broadcast: numpy],f32(144x1x1x3x3) f32(144x1x1x1x1),f32(144x1x1x3x3)
GroupConvolution,aten::conv2d/GroupConvolution_2,0.0081,0.0000,0.0013,[auto_pad: explicit; dilations: (1xs1); pads_begin: (1xs1); pads_end: (1xs1); strides: (1xs1)],f32(1x144x56x56) f32(144x1x1x3x3),f32(1x144x56x56)
Add,aten::conv2d/Add_7,0.0005,0.0000,0.0001,[auto_broadcast: numpy],f32(1x144x56x56) f32(1x144x1x1),f32(1x144x56x56)
Multiply,aten::conv2d/Convolution_5/fq_weights_1,0.0000,0.0000,0.0000,[auto_broadcast: numpy],f32(24x144x1x1) f32(24x1x1x1),f32(24x144x1x1)
Convolution,aten::conv2d/Convolution_5,0.0217,0.0000,0.0035,[auto_pad: explicit; dilations: (1xs1); pads_begin: (0xs0); pads_end: (0xs0); strides: (1xs1)],f32(1x144x56x56) f32(24x144x1x1),f32(1x24x56x56)
Add,aten::conv2d/Add_8,0.0001,0.0000,0.0000,[auto_broadcast: numpy],f32(1x24x56x56) f32(1x24x1x1),f32(1x24x56x56)
