LayerType,LayerName,GFLOPs,GIOPs,MParams,LayerParams,InputBlobs,OutputBlobs
Convolution,Multiply_6499,0.2055,0.0000,0.5243,[auto_pad: explicit; dilations: (1xs1); pads_begin: (0xs0); pads_end: (0xs0); strides: (2xs2)],f32(1x512x28x28) f32(1024x512x1x1),f32(1x1024x14x14)
Add,847,0.0002,0.0000,0.0010,[auto_broadcast: numpy],f32(1x1024x14x14) f32(1x1024x1x1),f32(1x1024x14x14)
Multiply,Multiply_6795,0.0003,0.0000,0.0003,[auto_broadcast: numpy],f32(256x1024x1x1) f32(256x1x1x1),f32(256x1024x1x1)
Convolution,Multiply_6506,0.1028,0.0000,0.2621,[auto_pad: explicit; dilations: (1xs1); pads_begin: (0xs0); pads_end: (0xs0); strides: (1xs1)],f32(1x1024x14x14) f32(256x1024x1x1),f32(1x256x14x14)
Add,860,0.0001,0.0000,0.0003,[auto_broadcast: numpy],f32(1x256x14x14) f32(1x256x1x1),f32(1x256x14x14)
Multiply,Multiply_6799,0.0006,0.0000,0.0003,[auto_broadcast: numpy],f32(256x256x3x3) f32(256x1x1x1),f32(256x256x3x3)
Convolution,Multiply_6513,0.2312,0.0000,0.5898,[auto_pad: explicit; dilations: (1xs1); pads_begin: (1xs1); pads_end: (1xs1); strides: (1xs1)],f32(1x256x14x14) f32(256x256x3x3),f32(1x256x14x14)
Add,869,0.0001,0.0000,0.0003,[auto_broadcast: numpy],f32(1x256x14x14) f32(1x256x1x1),f32(1x256x14x14)
Multiply,Multiply_6803,0.0003,0.0000,0.0010,[auto_broadcast: numpy],f32(1024x256x1x1) f32(1024x1x1x1),f32(1024x256x1x1)
Convolution,Multiply_6520,0.1028,0.0000,0.2621,[auto_pad: explicit; dilations: (1xs1); pads_begin: (0xs0); pads_end: (0xs0); strides: (1xs1)],f32(1x256x14x14) f32(1024x256x1x1),f32(1x1024x14x14)
Add,878,0.0002,0.0000,0.0010,[auto_broadcast: numpy],f32(1x1024x14x14) f32(1x1024x1x1),f32(1x1024x14x14)
Multiply,Multiply_6807,0.0003,0.0000,0.0003,[auto_broadcast: numpy],f32(256x1024x1x1) f32(256x1x1x1),f32(256x1024x1x1)
Convolution,Multiply_6527,0.1028,0.0000,0.2621,[auto_pad: explicit; dilations: (1xs1); pads_begin: (0xs0); pads_end: (0xs0); strides: (1xs1)],f32(1x1024x14x14) f32(256x1024x1x1),f32(1x256x14x14)
Add,891,0.0001,0.0000,0.0003,[auto_broadcast: numpy],f32(1x256x14x14) f32(1x256x1x1),f32(1x256x14x14)
Multiply,Multiply_6811,0.0006,0.0000,0.0003,[auto_broadcast: numpy],f32(256x256x3x3) f32(256x1x1x1),f32(256x256x3x3)
Convolution,Multiply_6534,0.2312,0.0000,0.5898,[auto_pad: explicit; dilations: (1xs1); pads_begin: (1xs1); pads_end: (1xs1); strides: (1xs1)],f32(1x256x14x14) f32(256x256x3x3),f32(1x256x14x14)
Add,900,0.0001,0.0000,0.0003,[auto_broadcast: numpy],f32(1x256x14x14) f32(1x256x1x1),f32(1x256x14x14)
Multiply,Multiply_6815,0.0003,0.0000,0.0010,[auto_broadcast: numpy],f32(1024x256x1x1) f32(1024x1x1x1),f32(1024x256x1x1)
Convolution,Multiply_6541,0.1028,0.0000,0.2621,[auto_pad: explicit; dilations: (1xs1); pads_begin: (0xs0); pads_end: (0xs0); strides: (1xs1)],f32(1x256x14x14) f32(1024x256x1x1),f32(1x1024x14x14)
Add,909,0.0002,0.0000,0.0010,[auto_broadcast: numpy],f32(1x1024x14x14) f32(1x1024x1x1),f32(1x1024x14x14)
Multiply,Multiply_6819,0.0003,0.0000,0.0003,[auto_broadcast: numpy],f32(256x1024x1x1) f32(256x1x1x1),f32(256x1024x1x1)
Convolution,Multiply_6548,0.1028,0.0000,0.2621,[auto_pad: explicit; dilations: (1xs1); pads_begin: (0xs0); pads_end: (0xs0); strides: (1xs1)],f32(1x1024x14x14) f32(256x1024x1x1),f32(1x256x14x14)
Add,922,0.0001,0.0000,0.0003,[auto_broadcast: numpy],f32(1x256x14x14) f32(1x256x1x1),f32(1x256x14x14)
Multiply,Multiply_6823,0.0006,0.0000,0.0003,[auto_broadcast: numpy],f32(256x256x3x3) f32(256x1x1x1),f32(256x256x3x3)
Convolution,Multiply_6555,0.2312,0.0000,0.5898,[auto_pad: explicit; dilations: (1xs1); pads_begin: (1xs1); pads_end: (1xs1); strides: (1xs1)],f32(1x256x14x14) f32(256x256x3x3),f32(1x256x14x14)
Add,931,0.0001,0.0000,0.0003,[auto_broadcast: numpy],f32(1x256x14x14) f32(1x256x1x1),f32(1x256x14x14)
Multiply,Multiply_6827,0.0003,0.0000,0.0010,[auto_broadcast: numpy],f32(1024x256x1x1) f32(1024x1x1x1),f32(1024x256x1x1)
Convolution,Multiply_6562,0.1028,0.0000,0.2621,[auto_pad: explicit; dilations: (1xs1); pads_begin: (0xs0); pads_end: (0xs0); strides: (1xs1)],f32(1x256x14x14) f32(1024x256x1x1),f32(1x1024x14x14)
Add,940,0.0002,0.0000,0.0010,[auto_broadcast: numpy],f32(1x1024x14x14) f32(1x1024x1x1),f32(1x1024x14x14)
Multiply,Multiply_6831,0.0003,0.0000,0.0003,[auto_broadcast: numpy],f32(256x1024x1x1) f32(256x1x1x1),f32(256x1024x1x1)
Convolution,Multiply_6569,0.1028,0.0000,0.2621,[auto_pad: explicit; dilations: (1xs1); pads_begin: (0xs0); pads_end: (0xs0); strides: (1xs1)],f32(1x1024x14x14) f32(256x1024x1x1),f32(1x256x14x14)
Add,953,0.0001,0.0000,0.0003,[auto_broadcast: numpy],f32(1x256x14x14) f32(1x256x1x1),f32(1x256x14x14)
Multiply,Multiply_6835,0.0006,0.0000,0.0003,[auto_broadcast: numpy],f32(256x256x3x3) f32(256x1x1x1),f32(256x256x3x3)
Convolution,Multiply_6576,0.2312,0.0000,0.5898,[auto_pad: explicit; dilations: (1xs1); pads_begin: (1xs1); pads_end: (1xs1); strides: (1xs1)],f32(1x256x14x14) f32(256x256x3x3),f32(1x256x14x14)
Add,962,0.0001,0.0000,0.0003,[auto_broadcast: numpy],f32(1x256x14x14) f32(1x256x1x1),f32(1x256x14x14)
Multiply,Multiply_6839,0.0003,0.0000,0.0010,[auto_broadcast: numpy],f32(1024x256x1x1) f32(1024x1x1x1),f32(1024x256x1x1)
Convolution,Multiply_6583,0.1028,0.0000,0.2621,[auto_pad: explicit; dilations: (1xs1); pads_begin: (0xs0); pads_end: (0xs0); strides: (1xs1)],f32(1x256x14x14) f32(1024x256x1x1),f32(1x1024x14x14)
Add,971,0.0002,0.0000,0.0010,[auto_broadcast: numpy],f32(1x1024x14x14) f32(1x1024x1x1),f32(1x1024x14x14)
Multiply,Multiply_6843,0.0003,0.0000,0.0003,[auto_broadcast: numpy],f32(256x1024x1x1) f32(256x1x1x1),f32(256x1024x1x1)
Convolution,Multiply_6590,0.1028,0.0000,0.2621,[auto_pad: explicit; dilations: (1xs1); pads_begin: (0xs0); pads_end: (0xs0); strides: (1xs1)],f32(1x1024x14x14) f32(256x1024x1x1),f32(1x256x14x14)
Add,984,0.0001,0.0000,0.0003,[auto_broadcast: numpy],f32(1x256x14x14) f32(1x256x1x1),f32(1x256x14x14)
Multiply,Multiply_6847,0.0006,0.0000,0.0003,[auto_broadcast: numpy],f32(256x256x3x3) f32(256x1x1x1),f32(256x256x3x3)
Convolution,Multiply_6597,0.2312,0.0000,0.5898,[auto_pad: explicit; dilations: (1xs1); pads_begin: (1xs1); pads_end: (1xs1); strides: (1xs1)],f32(1x256x14x14) f32(256x256x3x3),f32(1x256x14x14)
Add,993,0.0001,0.0000,0.0003,[auto_broadcast: numpy],f32(1x256x14x14) f32(1x256x1x1),f32(1x256x14x14)
Multiply,Multiply_6851,0.0003,0.0000,0.0010,[auto_broadcast: numpy],f32(1024x256x1x1) f32(1024x1x1x1),f32(1024x256x1x1)
Convolution,Multiply_6604,0.1028,0.0000,0.2621,[auto_pad: explicit; dilations: (1xs1); pads_begin: (0xs0); pads_end: (0xs0); strides: (1xs1)],f32(1x256x14x14) f32(1024x256x1x1),f32(1x1024x14x14)
Add,1002,0.0002,0.0000,0.0010,[auto_broadcast: numpy],f32(1x1024x14x14) f32(1x1024x1x1),f32(1x1024x14x14)
Multiply,Multiply_6855,0.0005,0.0000,0.0005,[auto_broadcast: numpy],f32(512x1024x1x1) f32(512x1x1x1),f32(512x1024x1x1)
Convolution,Multiply_6611,0.2055,0.0000,0.5243,[auto_pad: explicit; dilations: (1xs1); pads_begin: (0xs0); pads_end: (0xs0); strides: (1xs1)],f32(1x1024x14x14) f32(512x1024x1x1),f32(1x512x14x14)
Add,1015,0.0001,0.0000,0.0005,[auto_broadcast: numpy],f32(1x512x14x14) f32(1x512x1x1),f32(1x512x14x14)
Multiply,Multiply_6859,0.0024,0.0000,0.0005,[auto_broadcast: numpy],f32(512x512x3x3) f32(512x1x1x1),f32(512x512x3x3)
Convolution,Multiply_6618,0.2312,0.0000,2.3593,[auto_pad: explicit; dilations: (1xs1); pads_begin: (1xs1); pads_end: (1xs1); strides: (2xs2)],f32(1x512x14x14) f32(512x512x3x3),f32(1x512x7x7)
Add,1024,0.0000,0.0000,0.0005,[auto_broadcast: numpy],f32(1x512x7x7) f32(1x512x1x1),f32(1x512x7x7)
Multiply,Multiply_6863,0.0010,0.0000,0.0020,[auto_broadcast: numpy],f32(2048x512x1x1) f32(2048x1x1x1),f32(2048x512x1x1)
Convolution,Multiply_6625,0.1028,0.0000,1.0486,[auto_pad: explicit; dilations: (1xs1); pads_begin: (0xs0); pads_end: (0xs0); strides: (1xs1)],f32(1x512x7x7) f32(2048x512x1x1),f32(1x2048x7x7)
Add,1033,0.0001,0.0000,0.0020,[auto_broadcast: numpy],f32(1x2048x7x7) f32(1x2048x1x1),f32(1x2048x7x7)
Multiply,Multiply_6867,0.0021,0.0000,0.0020,[auto_broadcast: numpy],f32(2048x1024x1x1) f32(2048x1x1x1),f32(2048x1024x1x1)
Convolution,Multiply_6632,0.2055,0.0000,2.0972,[auto_pad: explicit; dilations: (1xs1); pads_begin: (0xs0); pads_end: (0xs0); strides: (2xs2)],f32(1x1024x14x14) f32(2048x1024x1x1),f32(1x2048x7x7)
Add,1041,0.0001,0.0000,0.0020,[auto_broadcast: numpy],f32(1x2048x7x7) f32(1x2048x1x1),f32(1x2048x7x7)
Multiply,Multiply_6871,0.0010,0.0000,0.0005,[auto_broadcast: numpy],f32(512x2048x1x1) f32(512x1x1x1),f32(512x2048x1x1)
Convolution,Multiply_6639,0.1028,0.0000,1.0486,[auto_pad: explicit; dilations: (1xs1); pads_begin: (0xs0); pads_end: (0xs0); strides: (1xs1)],f32(1x2048x7x7) f32(512x2048x1x1),f32(1x512x7x7)
Add,1054,0.0000,0.0000,0.0005,[auto_broadcast: numpy],f32(1x512x7x7) f32(1x512x1x1),f32(1x512x7x7)
Multiply,Multiply_6875,0.0024,0.0000,0.0005,[auto_broadcast: numpy],f32(512x512x3x3) f32(512x1x1x1),f32(512x512x3x3)
Convolution,Multiply_6646,0.2312,0.0000,2.3593,[auto_pad: explicit; dilations: (1xs1); pads_begin: (1xs1); pads_end: (1xs1); strides: (1xs1)],f32(1x512x7x7) f32(512x512x3x3),f32(1x512x7x7)
Add,1063,0.0000,0.0000,0.0005,[auto_broadcast: numpy],f32(1x512x7x7) f32(1x512x1x1),f32(1x512x7x7)
Multiply,Multiply_6879,0.0010,0.0000,0.0020,[auto_broadcast: numpy],f32(2048x512x1x1) f32(2048x1x1x1),f32(2048x512x1x1)
Convolution,Multiply_6653,0.1028,0.0000,1.0486,[auto_pad: explicit; dilations: (1xs1); pads_begin: (0xs0); pads_end: (0xs0); strides: (1xs1)],f32(1x512x7x7) f32(2048x512x1x1),f32(1x2048x7x7)
Add,1072,0.0001,0.0000,0.0020,[auto_broadcast: numpy],f32(1x2048x7x7) f32(1x2048x1x1),f32(1x2048x7x7)
Multiply,Multiply_6883,0.0010,0.0000,0.0005,[auto_broadcast: numpy],f32(512x2048x1x1) f32(512x1x1x1),f32(512x2048x1x1)
Convolution,Multiply_6660,0.1028,0.0000,1.0486,[auto_pad: explicit; dilations: (1xs1); pads_begin: (0xs0); pads_end: (0xs0); strides: (1xs1)],f32(1x2048x7x7) f32(512x2048x1x1),f32(1x512x7x7)
Add,1085,0.0000,0.0000,0.0005,[auto_broadcast: numpy],f32(1x512x7x7) f32(1x512x1x1),f32(1x512x7x7)
Multiply,Multiply_6887,0.0024,0.0000,0.0005,[auto_broadcast: numpy],f32(512x512x3x3) f32(512x1x1x1),f32(512x512x3x3)
Convolution,Multiply_6667,0.2312,0.0000,2.3593,[auto_pad: explicit; dilations: (1xs1); pads_begin: (1xs1); pads_end: (1xs1); strides: (1xs1)],f32(1x512x7x7) f32(512x512x3x3),f32(1x512x7x7)
Add,1094,0.0000,0.0000,0.0005,[auto_broadcast: numpy],f32(1x512x7x7) f32(1x512x1x1),f32(1x512x7x7)
Multiply,Multiply_6891,0.0010,0.0000,0.0020,[auto_broadcast: numpy],f32(2048x512x1x1) f32(2048x1x1x1),f32(2048x512x1x1)
