LayerType,LayerName,GFLOPs,GIOPs,MParams,LayerParams,InputBlobs,OutputBlobs
Swish,model.0.act_29,0.0013,0.0000,0.0000,[],f32(1x320x64x64),f32(1x320x64x64)
Convolution,model.6.m.1.cv1.conv,7.5497,0.0000,0.9216,[auto_pad: explicit; dilations: (1xs1); pads_begin: (1xs1); pads_end: (1xs1); strides: (1xs1)],f32(1x320x64x64) f32(320x320x3x3),f32(1x320x64x64)
Swish,model.0.act_30,0.0013,0.0000,0.0000,[],f32(1x320x64x64),f32(1x320x64x64)
Convolution,model.6.m.1.cv2.conv,7.5497,0.0000,0.9216,[auto_pad: explicit; dilations: (1xs1); pads_begin: (1xs1); pads_end: (1xs1); strides: (1xs1)],f32(1x320x64x64) f32(320x320x3x3),f32(1x320x64x64)
Swish,model.0.act_31,0.0013,0.0000,0.0000,[],f32(1x320x64x64),f32(1x320x64x64)
Convolution,model.6.m.2.cv1.conv,7.5497,0.0000,0.9216,[auto_pad: explicit; dilations: (1xs1); pads_begin: (1xs1); pads_end: (1xs1); strides: (1xs1)],f32(1x320x64x64) f32(320x320x3x3),f32(1x320x64x64)
Swish,model.0.act_32,0.0013,0.0000,0.0000,[],f32(1x320x64x64),f32(1x320x64x64)
Convolution,model.6.m.2.cv2.conv,7.5497,0.0000,0.9216,[auto_pad: explicit; dilations: (1xs1); pads_begin: (1xs1); pads_end: (1xs1); strides: (1xs1)],f32(1x320x64x64) f32(320x320x3x3),f32(1x320x64x64)
Swish,model.0.act_33,0.0013,0.0000,0.0000,[],f32(1x320x64x64),f32(1x320x64x64)
Convolution,model.6.m.3.cv1.conv,7.5497,0.0000,0.9216,[auto_pad: explicit; dilations: (1xs1); pads_begin: (1xs1); pads_end: (1xs1); strides: (1xs1)],f32(1x320x64x64) f32(320x320x3x3),f32(1x320x64x64)
Swish,model.0.act_34,0.0013,0.0000,0.0000,[],f32(1x320x64x64),f32(1x320x64x64)
Convolution,model.6.m.3.cv2.conv,7.5497,0.0000,0.9216,[auto_pad: explicit; dilations: (1xs1); pads_begin: (1xs1); pads_end: (1xs1); strides: (1xs1)],f32(1x320x64x64) f32(320x320x3x3),f32(1x320x64x64)
Swish,model.0.act_35,0.0013,0.0000,0.0000,[],f32(1x320x64x64),f32(1x320x64x64)
Convolution,model.6.m.4.cv1.conv,7.5497,0.0000,0.9216,[auto_pad: explicit; dilations: (1xs1); pads_begin: (1xs1); pads_end: (1xs1); strides: (1xs1)],f32(1x320x64x64) f32(320x320x3x3),f32(1x320x64x64)
Swish,model.0.act_36,0.0013,0.0000,0.0000,[],f32(1x320x64x64),f32(1x320x64x64)
Convolution,model.6.m.4.cv2.conv,7.5497,0.0000,0.9216,[auto_pad: explicit; dilations: (1xs1); pads_begin: (1xs1); pads_end: (1xs1); strides: (1xs1)],f32(1x320x64x64) f32(320x320x3x3),f32(1x320x64x64)
Swish,model.0.act_37,0.0013,0.0000,0.0000,[],f32(1x320x64x64),f32(1x320x64x64)
Convolution,model.6.m.5.cv1.conv,7.5497,0.0000,0.9216,[auto_pad: explicit; dilations: (1xs1); pads_begin: (1xs1); pads_end: (1xs1); strides: (1xs1)],f32(1x320x64x64) f32(320x320x3x3),f32(1x320x64x64)
Swish,model.0.act_38,0.0013,0.0000,0.0000,[],f32(1x320x64x64),f32(1x320x64x64)
Convolution,model.6.m.5.cv2.conv,7.5497,0.0000,0.9216,[auto_pad: explicit; dilations: (1xs1); pads_begin: (1xs1); pads_end: (1xs1); strides: (1xs1)],f32(1x320x64x64) f32(320x320x3x3),f32(1x320x64x64)
Swish,model.0.act_39,0.0013,0.0000,0.0000,[],f32(1x320x64x64),f32(1x320x64x64)
Convolution,model.6.cv2.conv,13.4218,0.0000,1.6384,[auto_pad: explicit; dilations: (1xs1); pads_begin: (0xs0); pads_end: (0xs0); strides: (1xs1)],f32(1x2560x64x64) f32(640x2560x1x1),f32(1x640x64x64)
Swish,model.0.act_40,0.0026,0.0000,0.0000,[],f32(1x640x64x64),f32(1x640x64x64)
Convolution,model.7.conv,7.5497,0.0000,3.6864,[auto_pad: explicit; dilations: (1xs1); pads_begin: (1xs1); pads_end: (1xs1); strides: (2xs2)],f32(1x640x64x64) f32(640x640x3x3),f32(1x640x32x32)
Swish,model.0.act_41,0.0007,0.0000,0.0000,[],f32(1x640x32x32),f32(1x640x32x32)
Convolution,model.8.cv1.conv,0.8389,0.0000,0.4096,[auto_pad: explicit; dilations: (1xs1); pads_begin: (0xs0); pads_end: (0xs0); strides: (1xs1)],f32(1x640x32x32) f32(640x640x1x1),f32(1x640x32x32)
Swish,model.0.act_42,0.0007,0.0000,0.0000,[],f32(1x640x32x32),f32(1x640x32x32)
Convolution,model.8.m.0.cv1.conv,1.8874,0.0000,0.9216,[auto_pad: explicit; dilations: (1xs1); pads_begin: (1xs1); pads_end: (1xs1); strides: (1xs1)],f32(1x320x32x32) f32(320x320x3x3),f32(1x320x32x32)
Swish,model.0.act_43,0.0003,0.0000,0.0000,[],f32(1x320x32x32),f32(1x320x32x32)
Convolution,model.8.m.0.cv2.conv,1.8874,0.0000,0.9216,[auto_pad: explicit; dilations: (1xs1); pads_begin: (1xs1); pads_end: (1xs1); strides: (1xs1)],f32(1x320x32x32) f32(320x320x3x3),f32(1x320x32x32)
Swish,model.0.act_44,0.0003,0.0000,0.0000,[],f32(1x320x32x32),f32(1x320x32x32)
Convolution,model.8.m.1.cv1.conv,1.8874,0.0000,0.9216,[auto_pad: explicit; dilations: (1xs1); pads_begin: (1xs1); pads_end: (1xs1); strides: (1xs1)],f32(1x320x32x32) f32(320x320x3x3),f32(1x320x32x32)
Swish,model.0.act_45,0.0003,0.0000,0.0000,[],f32(1x320x32x32),f32(1x320x32x32)
Convolution,model.8.m.1.cv2.conv,1.8874,0.0000,0.9216,[auto_pad: explicit; dilations: (1xs1); pads_begin: (1xs1); pads_end: (1xs1); strides: (1xs1)],f32(1x320x32x32) f32(320x320x3x3),f32(1x320x32x32)
Swish,model.0.act_46,0.0003,0.0000,0.0000,[],f32(1x320x32x32),f32(1x320x32x32)
Convolution,model.8.m.2.cv1.conv,1.8874,0.0000,0.9216,[auto_pad: explicit; dilations: (1xs1); pads_begin: (1xs1); pads_end: (1xs1); strides: (1xs1)],f32(1x320x32x32) f32(320x320x3x3),f32(1x320x32x32)
Swish,model.0.act_47,0.0003,0.0000,0.0000,[],f32(1x320x32x32),f32(1x320x32x32)
Convolution,model.8.m.2.cv2.conv,1.8874,0.0000,0.9216,[auto_pad: explicit; dilations: (1xs1); pads_begin: (1xs1); pads_end: (1xs1); strides: (1xs1)],f32(1x320x32x32) f32(320x320x3x3),f32(1x320x32x32)
Swish,model.0.act_48,0.0003,0.0000,0.0000,[],f32(1x320x32x32),f32(1x320x32x32)
Convolution,model.8.cv2.conv,2.0972,0.0000,1.0240,[auto_pad: explicit; dilations: (1xs1); pads_begin: (0xs0); pads_end: (0xs0); strides: (1xs1)],f32(1x1600x32x32) f32(640x1600x1x1),f32(1x640x32x32)
Swish,model.0.act_49,0.0007,0.0000,0.0000,[],f32(1x640x32x32),f32(1x640x32x32)
Convolution,model.9.cv1.conv,0.4194,0.0000,0.2048,[auto_pad: explicit; dilations: (1xs1); pads_begin: (0xs0); pads_end: (0xs0); strides: (1xs1)],f32(1x640x32x32) f32(320x640x1x1),f32(1x320x32x32)
Swish,model.0.act_50,0.0003,0.0000,0.0000,[],f32(1x320x32x32),f32(1x320x32x32)
MaxPool,model.9.m_1,0.0000,0.0000,0.0000,[],f32(1x320x32x32),f32(1x320x32x32)
