LayerType,LayerName,GFLOPs,GIOPs,MParams,LayerParams,InputBlobs,OutputBlobs
ReLU,layer3.5.relu_1,0.000000,0.000000,0.000000,[],f32(1x256x14x14),f32(1x256x14x14)
Convolution,layer3.5.conv2,0.231211,0.000000,0.589824,[auto_pad: explicit; dilations: (1xs1); pads_begin: (1xs1); pads_end: (1xs1); strides: (1xs1)],f32(1x256x14x14) f32(256x256x3x3),f32(1x256x14x14)
BatchNorm,layer3.5.bn2,0.000401,0.000000,0.000512,[],f32(1x256x14x14),f32(1x256x14x14)
ReLU,layer3.5.relu_2,0.000000,0.000000,0.000000,[],f32(1x256x14x14),f32(1x256x14x14)
Convolution,layer3.5.conv3,0.102760,0.000000,0.262144,[auto_pad: explicit; dilations: (1xs1); pads_begin: (0xs0); pads_end: (0xs0); strides: (1xs1)],f32(1x256x14x14) f32(1024x256x1x1),f32(1x1024x14x14)
BatchNorm,layer3.5.bn3,0.001606,0.000000,0.002048,[],f32(1x1024x14x14),f32(1x1024x14x14)
ReLU,layer3.5.relu_3,0.000000,0.000000,0.000000,[],f32(1x1024x14x14),f32(1x1024x14x14)
Convolution,layer4.0.conv1,0.205521,0.000000,0.524288,[auto_pad: explicit; dilations: (1xs1); pads_begin: (0xs0); pads_end: (0xs0); strides: (1xs1)],f32(1x1024x14x14) f32(512x1024x1x1),f32(1x512x14x14)
BatchNorm,layer4.0.bn1,0.000803,0.000000,0.001024,[],f32(1x512x14x14),f32(1x512x14x14)
ReLU,layer4.0.relu_1,0.000000,0.000000,0.000000,[],f32(1x512x14x14),f32(1x512x14x14)
Convolution,layer4.0.conv2,0.231211,0.000000,2.359296,[auto_pad: explicit; dilations: (1xs1); pads_begin: (1xs1); pads_end: (1xs1); strides: (2xs2)],f32(1x512x14x14) f32(512x512x3x3),f32(1x512x7x7)
BatchNorm,layer4.0.bn2,0.000201,0.000000,0.001024,[],f32(1x512x7x7),f32(1x512x7x7)
ReLU,layer4.0.relu_2,0.000000,0.000000,0.000000,[],f32(1x512x7x7),f32(1x512x7x7)
Convolution,layer4.0.conv3,0.102760,0.000000,1.048576,[auto_pad: explicit; dilations: (1xs1); pads_begin: (0xs0); pads_end: (0xs0); strides: (1xs1)],f32(1x512x7x7) f32(2048x512x1x1),f32(1x2048x7x7)
BatchNorm,layer4.0.bn3,0.000803,0.000000,0.004096,[],f32(1x2048x7x7),f32(1x2048x7x7)
Convolution,layer4.0.downsample.0,0.205521,0.000000,2.097152,[auto_pad: explicit; dilations: (1xs1); pads_begin: (0xs0); pads_end: (0xs0); strides: (2xs2)],f32(1x1024x14x14) f32(2048x1024x1x1),f32(1x2048x7x7)
BatchNorm,layer4.0.downsample.1,0.000803,0.000000,0.004096,[],f32(1x2048x7x7),f32(1x2048x7x7)
ReLU,layer4.0.relu_3,0.000000,0.000000,0.000000,[],f32(1x2048x7x7),f32(1x2048x7x7)
Convolution,layer4.1.conv1,0.102760,0.000000,1.048576,[auto_pad: explicit; dilations: (1xs1); pads_begin: (0xs0); pads_end: (0xs0); strides: (1xs1)],f32(1x2048x7x7) f32(512x2048x1x1),f32(1x512x7x7)
BatchNorm,layer4.1.bn1,0.000201,0.000000,0.001024,[],f32(1x512x7x7),f32(1x512x7x7)
ReLU,layer4.1.relu_1,0.000000,0.000000,0.000000,[],f32(1x512x7x7),f32(1x512x7x7)
Convolution,layer4.1.conv2,0.231211,0.000000,2.359296,[auto_pad: explicit; dilations: (1xs1); pads_begin: (1xs1); pads_end: (1xs1); strides: (1xs1)],f32(1x512x7x7) f32(512x512x3x3),f32(1x512x7x7)
BatchNorm,layer4.1.bn2,0.000201,0.000000,0.001024,[],f32(1x512x7x7),f32(1x512x7x7)
ReLU,layer4.1.relu_2,0.000000,0.000000,0.000000,[],f32(1x512x7x7),f32(1x512x7x7)
Convolution,layer4.1.conv3,0.102760,0.000000,1.048576,[auto_pad: explicit; dilations: (1xs1); pads_begin: (0xs0); pads_end: (0xs0); strides: (1xs1)],f32(1x512x7x7) f32(2048x512x1x1),f32(1x2048x7x7)
BatchNorm,layer4.1.bn3,0.000803,0.000000,0.004096,[],f32(1x2048x7x7),f32(1x2048x7x7)
ReLU,layer4.1.relu_3,0.000000,0.000000,0.000000,[],f32(1x2048x7x7),f32(1x2048x7x7)
Convolution,layer4.2.conv1,0.102760,0.000000,1.048576,[auto_pad: explicit; dilations: (1xs1); pads_begin: (0xs0); pads_end: (0xs0); strides: (1xs1)],f32(1x2048x7x7) f32(512x2048x1x1),f32(1x512x7x7)
BatchNorm,layer4.2.bn1,0.000201,0.000000,0.001024,[],f32(1x512x7x7),f32(1x512x7x7)
ReLU,layer4.2.relu_1,0.000000,0.000000,0.000000,[],f32(1x512x7x7),f32(1x512x7x7)
Convolution,layer4.2.conv2,0.231211,0.000000,2.359296,[auto_pad: explicit; dilations: (1xs1); pads_begin: (1xs1); pads_end: (1xs1); strides: (1xs1)],f32(1x512x7x7) f32(512x512x3x3),f32(1x512x7x7)
BatchNorm,layer4.2.bn2,0.000201,0.000000,0.001024,[],f32(1x512x7x7),f32(1x512x7x7)
ReLU,layer4.2.relu_2,0.000000,0.000000,0.000000,[],f32(1x512x7x7),f32(1x512x7x7)
Convolution,layer4.2.conv3,0.102760,0.000000,1.048576,[auto_pad: explicit; dilations: (1xs1); pads_begin: (0xs0); pads_end: (0xs0); strides: (1xs1)],f32(1x512x7x7) f32(2048x512x1x1),f32(1x2048x7x7)
BatchNorm,layer4.2.bn3,0.000803,0.000000,0.004096,[],f32(1x2048x7x7),f32(1x2048x7x7)
ReLU,layer4.2.relu_3,0.000000,0.000000,0.000000,[],f32(1x2048x7x7),f32(1x2048x7x7)
ReduceMean,avgpool,0.000000,0.000000,0.000000,[],f32(1x2048x7x7),f32(1x2048x1x1)
MatMul,fc,0.004097,0.000000,2.049000,[],f32(1x2048) f32(1000x2048),f32(1x1000)
